original_text,source,pornografi,sara,radikalisme,pencemaran_nama_baik
"Kaum ontanya kafir jg bos dan bodoh RT @Mossad35: Disaat kafir bikin banyak penemuan yg mencerahkan, kaum onta selalu bikin cara nyimpan bom",twitter,0,1,1,1
semua negara harus menjadi anggota pbb. itu peraturannya. jd mustahil buat khilafah skr ini sblm al-mahdi.RT @ardobinardi:  @HizbuttahrirID:,twitter,0,0,1,0
Kampanye rasis ngmg nya pihak ahok yg di untungkan.. Goblok kafir mana ada di untungkan.. Kalau pada di perkosa bunuh lu enak berduit,twitter,0,1,0,1
"Loh memang ga da beda papua itu propinsi ibukotanya Jayapura,dan propinsi papua barat ibukotanya monokwari,lo tau ga,jngn2 bneran goblok lo",twitter,0,0,0,1
"@KorwilSukalaya udah gue baca TAI ! Lu ngomong gini "" waktu rusuh di Papua kok ga di Sanksi "" haha sanksi dari aspek mana arema ? Goblok !",twitter,0,0,0,0
"Kl mau debat2an, khilafah itu lebih parah dr nasionalisme. Cuma berdasarkan klan/tribe. Udah bener itu Sjahrir. Dasarnya harus kemanusiaan.",twitter,0,0,1,0
"Selamat Jalan Pejuang ...
Semoga selalu menang ...
Hidup tenang dan senang ...
Di sisi Allah Yang Maha Penyayang ...
•pic.twitter.com/k1Kjoq0Y1r",twitter,0,0,0,0
"Konflik di Papua tidak pernah selesai, RT @sudjiwotedjo: Kalau warga Papua lebih hepi dan makmur jika pisah dari NKRI, lepaskan saja #sikap",twitter,0,0,0,0
Awas Ngiler! Cewek Mulus ini Bugil Ngangkang Sambil Remas Susu Mantap Jiwa!!! http://www.model18plus.com/2018/01/12/awas-ngiler-cewek-mulus-ini-bugil-ngangkang-sambil-remas-susu-mantap-jiwa/ … lewat @Model18plus: Situs Majalah Pria Dewasa 18+ Indonesia,twitter,1,0,0,0
"BAHAN COLI 
#sexy #bispak #birahi #toket #puting #jilmek #seks #kontol
#bokepsemi #bokepindo #sepong #amoy #bisyar #lonte #jablay #crot #igo #amoysange #panlok #sange #ngewe #memek #tante #ngentot #sex #janda #SANGE_AAAAAAAAAAHpic.twitter.com/ufcyp4kUrq",twitter,1,0,0,0
"Buat tante kesepian atau cewe pengen puas VCS PHONESEX PRIVASI AMAN WA KHUSUS CEWE 085780246860
#vcs_berbayar #vcskuy #tantesange #tantebinal #ceweksange #MEMEKBASAH #memektembem #memekmerah #vcsgratis #bobekasi #bobandung",twitter,1,0,0,0
Trus apa yg harus dilakukan wat keluar dri lilitan maksiyat? | krn yg nerapin maksiyat sistem'a jdi sistemnya hrus diganti dgn Khilafah.,twitter,0,0,1,0
@o_pripot mksd km-yg di pict itu td?Yah ga heran lah!Mknya masy jgn menduk ormas2 radikal itu dunk-nti mw usir siapa lg? Mgkn org kafir hehe,twitter,0,0,1,0
"Alhamdulillah, Indonesia ada di peringkat ke-3 dgn 95% sbg Negara yg Rakyat-nya peduli thdp Agama.
Terakhir ditempati Cina, dgn 3%.
•pic.twitter.com/aRSDrSggWT",twitter,0,0,0,0
Bangsa Islam  Indonesia sdh menyatu. Bunuh kami satu persatu kl mau hilangkan cita2 Khilafah.,twitter,0,0,0,0
"""#SidangAhok smg sipenista agama n ateknya matinya tdk wjar n jasadnya tdk dtrma tnh n dia tdk prnh mrs kn sorga,aamiin semoga tuhan setuju""",twitter,0,0,1,1
"Kalau sekarang di bentuk lagi khilafah, apa Palestine akan merdeka?? Para pejuang khilafah, yg rela mati untuk menghidupkan khilafah sampe harus meledakkan bom bunuh diri di Indonesia, knpa tidak pergi bantu Palestina, ledakkan bom2 itu di wilayah israel",twitter,0,0,1,1
"pagi ini liat foto memek pacarku @NikeAnantha jadi tmbah sange, kontol sengaja aku denyut²kan....eh, tanpa disentuh tiba2 ngecrot beneran :)",twitter,1,0,0,0
"اَلْحَمْدُلِلّهِ رَبِّ العَا لَمِيْن

Saya senang dan bahagia dengan Kedatangan  Raja Salman bin Abdul Aziz Al Su'uud ke Indonesia.pic.twitter.com/TsKXGlDmHZ",twitter,0,0,0,0
"goblok kok dipaksain... Kshan dulu guru n ortu yg mengajarimu.  Jelas beli di Papua 25liter yh di Sulawesi beli 2,5 liter ya beda lha hrgnya",twitter,0,0,0,1
"""Udh jam segini gaada tuh tsunami di papua, boong aje nih."" Lo tuh goblok apa gmn sih? Bagus malah gaada tsunami",twitter,0,0,0,1
"Dah mulai keluar aslix gerombolan Toilet kencing Onta,g sepaham lngsung kofar-Kafir.. Kami umat mayoritas non alumni monas yg 7 jt ikut institusi Resmilah yaitu MUI sendiri.klo situ ikut ulama Radikalisme n Terorisme pantas Bodoh.Klo kejang2 langsung lakukan aksi bom bunuh diri",twitter,0,1,1,1
Norak banget iklan mantan mendikbud @aniesbaswedan ini. Tambah gak respech.. inilah tenun kebangsaan yg dia maksud.\u2026 https:\/\/t.co\/Ux7HEYkBLG,twitter,0,0,0,0
"jejelin duren aja ke pantat lo, mau? RT @94ohot: jejelin kontol maunya ""@Goodniteboy Iya, kita jejelin memek aja biar tobat RT @ilvsx:...",twitter,1,0,0,0
le give my opinion abt this. Nikah tuh ga cuma modal kontol sm memek doang. Nikah tuh ga cm menyatukan sepasang kekasih doang,twitter,1,0,0,0
"RT @ikadut: RT @herdirinananies: Baca surat si org bom bunuh diri, ada kata kafir, cari lah makna kata kafir sebenarnya dlm Quran ..",twitter,0,0,1,0
"Taruh bom di tubuhmu, berlarilah ke orang2 kafir itu! Ledakkan mereka! Km akan bertemu tujuh bidadari setelahnya! Km siap? | Maaf saya gay.",twitter,0,1,1,1
"Memek tika kebuka lebar lendir memek mengalir terus sodokan tambah kencang ahhhhhh lepas kontol dulu , jilat peju yg keluar ahhhhhh",twitter,1,0,0,0
"إن شاء الله

   SELASA 9 MEI 2017
AHOK AKAN DIPENJARA
KARENA MENISTA AGAMA

BALON DAN KARANGAN BUNGA
TIDAK AKAN BERGUNA
•pic.twitter.com/WOfJ86ruZG",twitter,0,0,0,0
"Wtc=building demolition, bom bali=mikro nuklir, bom panci low>bom k melayu hight, fitna terorisme buatan orang kafir dg menunggangi awam.",twitter,0,1,1,1
"Kok merembet2 nya, gk jelas RT""@raharjant: Presiden klas topeng monyet RT @maspiyungan: Saat Papua Masih Berduka, Jokowi Cekikikan",twitter,0,0,0,1
"Soal pmmpin kafir, lw mlihat dari negara lain, kadang mrk  bersikap lbh dari pmimpin muslim, mslny hugo chaves, dia brani usir dubes israel",twitter,0,0,1,0
"Yang merasa orang cina bagi angpao dong, kalau nda sy ganyang ko terus sy doakan semoga nda turun hujan. Nyak nyak !",twitter,0,1,1,1
Ayo bangbros aja RT @abialdy: Saya bunuh klian berdua hei kafir quraisy kaum sodim RT@aditia_ramadhan: nikah aja deh,twitter,0,0,0,0
"Gelikk-__-RT @Meiry2383: ( ˘з(˘⌣˘ ) RT @eka2383: @Meiry2383 udh dong marah2nya, malem jumat nih, mending kita bunuh 1000 orang kafir yuk :D",twitter,0,0,1,1
"ngewe depan guru wk RT @cumanNANYA #cumanNANYA buat yang baru tamat SMP nih, sebelum lo jadi anak SMA, ada ga sih yg pengen lo lakuin di SMP",twitter,1,0,0,0
Hahaha. Msh pagi. RT @PrimaLACOMM: Ayo bunuh kafir!! Bwahahahaha RT Menunaikan yang wajib has been (cont) http://tl.gd/i9rsr1 ,twitter,0,0,1,0
"biasa cowo yang sange an. ini kebalikannya cewe yang sange berat. 
pic.twitter.com/LdkuymvqZv
Full Movie : https://bit.ly/2wvWqEX 
#bokep #bokepindo #bokepjepang #bokepsma #bokepjav #bispak #bisyar #memekbasah #janda #tantegirang #ceweknakal #openbo #cewekbookingan #ngentot",twitter,1,0,0,0
"wkkk @JKFC23456789 hari geneh BELUM SUNAT ?!?!???

uda lama merdeka bong !!
KAFIR BABI VOC uda lama di usir..
lu mash blm sunat jg
wkkk",twitter,0,1,1,1
"Nah! RT @Agamajinasi: Motto bangsa ini: Bhinneka Tunggal Ika, Berbeda Tapi Satu. Bukannya: Sorban dan Hijab Rules, Kafir Usir Saja.",twitter,0,0,1,0
"Teriak ganyang cina, anti-cina, jangan mau diinjek-injek cina. Halah kntl. Ada amoy cina ngangkang juga pasti dipake, bukan diganyang. Bangsat.",twitter,0,1,1,1
"Saya slalu menduga bibit2 teroris awalnya ya dari kelompok yg mahami segala sesuatu secara TEKSTUAL kayak gitu itu. 
darah kafir halal.. 
Langsung bom sana sini..
Pdhl ada konteks tafsir mendalam dibalik itu. 
Ini yg mereka gagal paham atau emg sengaja milih nutup mata.",twitter,0,1,1,1
"anjing aku harus off...besok lagi..yg mau dm sex ma aku..neh soalnya kakakku udah jilat2in memek aku,ditambah cwo aku yg lg remes2 toked,,",twitter,1,0,0,0
"Kecian si Toge dibully,konsekwensi lah,yg ga bener yg cm bilang cina kafir usir dr Indonesia, kalau lo punya nyali adukan aja Toge ke Polisi",twitter,0,1,1,1
"Di film 212: Power of Love, Fauzi Baadila berperan sebagai Rahmat, dan gosipnya Reza Rahadian akan berperan sebagai spanduk Ganyang Cina.",twitter,0,0,0,0
"""@Bisniscom haha memaki untuk melawan mah harus, drpd ditindas pemimpin munafik melindungi penista agama, dll. Agama no 1 (islam), taubat rot""",twitter,0,1,0,1
"Jelas panik.... Krn paham anti Nasionalis, paham2 khilafah, anti Pancasila, radikal harus segera di gebuk, salah satunya melalui pendidikan https://twitter.com/republikaonline/status/870523463936561153 …",twitter,0,0,1,0
"Pengen bgt cipokan,trus tangan gw mulai grayangin tuh cewek,dr toket,ke memek.trus dia jg sambil ngocokkin kontol gw",twitter,1,0,0,0
"Siap ditempatkan dimana saja? Tentu siap.
Ditugaskan di daerah terpencil? Siap.
Dinas 8 thn di Papua? Siap.
Siap pisah Jogja-Jakarta? *tear*",twitter,0,0,0,0
Rusak deh Negara ini kalo semua mau di beda2kan..Papua & Maluku pisah aja dari NKRI yg semakin bobrok moral dan jiwa toleransinya...,twitter,0,0,0,0
" BAHAN COLI 
#sexy #bispak #birahi #toket
#puting #jilmek #seks #kontol
#sepong #amoy #bisyar #lonte
#jablay #crot #igo #amoysange
#panlok #sange #ngewe #memek
#tante #ngentot #sex #janda #seks
#SANGE_AAAAAAAAAAHpic.twitter.com/skgzidljP7",twitter,1,0,0,0
"""@LadiesRina: udah hampir 6 bln ga ngentot memek gw jd sempit banget. mau masukin 2 jari udah ga bisa. perih banget :("":-P",twitter,1,0,0,0
Hhhhhhhhhhh yg ancam tdk sholatin jenazah siapa ya ? Yg kafir kafirkan sesama muslim siapa ya ? Yg usir H djarot waktu mau sholat jum.at ?,twitter,0,0,0,0
"PE LA CUR!! RT @aprieltumorang: Bayar che.co pun ga mampu loooh, mas bayar pake remas tetek aja boleh, sumpa ga ada duit loh :(",twitter,1,0,0,0
Cerita Porno Ku Remas -Remas Tetek Guruku Yang Montok: Cerita Ngentot Sama Guru Montok | Hot News Trend Guru Nge... http://bit.ly/dKSdm1,twitter,1,0,0,0
"Baru yang kek gitu bilangnya kek gini. Sehat? Padahal kemarin2 suka rasis2in Tionghoa WNI, ganyang cina apalah. Liat aja Ahok sm Ernest Prakasa pada bilang apa ",twitter,0,1,0,0
"Knp ya,kalo coli,gak puas banget gw,mungkin kalo tangan itu,nyesuain sm gede kontol kan ya,kalo memek kan,kalo sempit ya enak.ky dipijit.",twitter,1,0,0,0
"nilai religi itu berteriak kafir dan mars ..ayo ayo ayo bunuh ahok ,ayo bunuh ahok sekarang juga @syihabrizieq",twitter,0,0,1,0
"Minta di ganyang RT @cina_totok: hahaha muka boros RT @Evan_Asher: Kenapa ya kalo blanja di hero sndirian kyk bapak"" yg lg jomblo --""",twitter,0,1,1,1
"Ulama tp mulutnya lbh nista dr yg dtuduh menista..sy muslim dn tdk pernah dpt pngajaran ""ayo kucilkan/bunuh ttanggamu yg kafir"". Ulama tp gemar mghasut..ADA!",twitter,0,0,0,0
Waa agung betul lah awak kt exo .kalau palestin kene bom tu. tak sengaja eh ? Yg bom tu islam ke kafir ?  @ainursofea77,twitter,0,0,1,1
Remas dan Netek Susu Cewek Mulus SMA Baru Numbuh:   Foto Hot Remas dan Netek Susu Cewek Mulus SMA Baru Numbuh... http://bit.ly/2d1oRSh ,twitter,1,0,0,0
"Senang karna mereka bener2 lagi ada di ladang jihad, ladang amal, tinggal kena satu peluru atau bom dari orang kafir udah pasti mereka masuk surga tanpa hisab..",twitter,0,1,1,1
Kayak dya pernah liat ajaRT @Snjayaaa: Wkwkw kt nya dulu jmbut mu pling lebat RT @FridaRatih: Jembut mu dahRT @Snjaya,twitter,1,0,0,0
"Ternyata @rajasundawiwaha bodoh jg....gak ada kata khilafah dibilang khilafah....ntar klo kita bilang tagar yg pro pemerintah kita bilang ""tegakkan negara pki melanggar UUD45 katanya fitnah.....hadeeeehhh",twitter,0,0,1,0
"Jadi cewek itu jangan kaya kertas, yang tak bisa kembali setelah di remas, namun jadilah tetek yang semakin gemas setelah di remas².",twitter,1,0,0,0
"@sandranda gua udah di papua nugini mba, kaya nya kita pisah aja deh tournya.. Ntr ktmu d jakarta ya 6 bulan lagi T.T",twitter,0,0,0,0
"Dan AHMADALBAAAR!!! :p RT @MOSSADMoza: ""Tegakkan Khilafah"". RT @illiandeta: Hmm mbayangin kl 500) kader PKS nge tweet, apa isi tweetnya yah?",twitter,0,0,1,0
"Huss!!! apa dah niy twitnya (¬_¬"") RT @Ezziiiiii: Tai RT @RaynSSFK: Gila lo gi RT @egiegayy: aduh pengen ngewe ama @Ezziiiiii",twitter,1,0,0,0
"weeh , jan jan serasa wong papua ki tuk gosong gosong RT @Amlght: Ediyan nglaju gurun sahara ya kamu? WahahahaRT... http://mtw.tl/l6w2x8",twitter,0,1,0,0
"Yg goblok itu JK. Masyarakat miskin itu byk di Papua, masyarakatnya non muslim. Daerah plg miskin itu NTT. Masyarakatnya byk non muslim jg.",twitter,0,0,0,0
"Ahhh asuu.. Klau final nah msih hjan! Ku ganyang kii RT @FadelyFaledy: Haha,cina untung kita buntung RT @chriztychiztyy: Hahaaa.. Ini mi g",twitter,0,1,1,1
Q: ngocol lu-_- ngajak ribut? A: anjink lo tuh Q: tae lo sono A: babi! Q: kontol! A: memek Q: tetek tae! A: titit udh!,twitter,1,0,0,0
"Wkwk biarin kek orang papua ntar ""@trlstari: Enggaala jangan nanti gue gosong RT @deniistwn: Diatas api bisa ga nulisnya?wkwk",twitter,0,1,0,1
"""RT @felixsiauw: tapi twit begini asik lo, kita jadi tau yang mana akun-akun pro-penista agama, akun-akun buzzer yang kerjanya menghujat :)""",twitter,0,0,0,0
"Bom buku tulis aja kali ya, meh teu kudu belajar RT @Panca0kta: ayo bom bunuh diri pas jumatan bsok RT @azkirawk: Yu ah kita jihad RT @Panca",twitter,0,0,1,1
"Dokter di sumbar di intimidasi? Repotter dipukul diusir? Bawa tulisan ganyang cina? Spandul bunuh ahok? Takbir keliling anak"" ngomong bunuh?",twitter,0,1,1,1
"""sibabi china sangat biadab memperlakukan kaum PRIBUMI, dan para jongon2 spt banser & nu nusantara mendukung ketimpangan ini, biadabnya mrk!""",twitter,0,1,0,1
Perasaan saudara2 kita di Papua itu mungkin bagai istri tua yg tdk pernah diurus lagi oleh suaminya. Wajar aja kalau minta pisah.,twitter,0,0,0,0
"Goblok...
Bikin malu orng papua sj...orng papua yg disni pintar2 cm km saja yg goblok...bodok pula...
Nonton video sana biar km tau ahok bcr apa.
Kebanykan koco batang to jdi BABIngung",twitter,0,0,0,1
"@DivHumas_Polri pak polisi rumah saya di lempari anak2 di mesjid depan rumah di maki2 kafir, awas mau di usir, saya harus gimana? Bukti video saya punya",twitter,0,1,1,1
"Enak ancen mak , RT @Imassafitrii: Susu ultra ae enak RT @bintangapp: Rek info dong buat tugas ospek . Susu remas rasa strawberry itu",twitter,1,0,0,0
"Gandul : ""Maaf ya Mbak, klo susu mbak tiap dua hari diremas-remas, tapi berhubungan badannya hanya setahun sekali, apa mbak gak jd gila ???""",twitter,1,0,0,0
"Woi... Kami yg tinggal di PAPUA kaget liat harga dlm kota BBM segitu.. Suruh dtg tuch orgnya  ke PAPUA biar Melek matanya,Goblok di piara",twitter,0,0,0,1
"Di daerah lain ga da masalah bro, di papua, bali, NTT dll. Lo goblok kl lagi laper, makan dl sana th ada mie tai ayam....",twitter,0,0,0,1
aih tunggu meko di ganyang sipit RT @safaangga: Adakah cina yg harum? :p RT @claragedalya: ih saya nda mandi tapi tetap ha,twitter,0,1,1,1
Ngawur! Ayat 107 al-Anbiya bukan bicara beliau abg nabi tapi sbg rasul/utusan berstatus rahmatan lil alamin; inilah poin sesat pikir Abdul Somad; dus apa dasarmu bilang Nabi dirikan khilafah di Madinah? Yg ada berahi khilafah2an kamu proyeksikan ke masa Rasul di Madinah; itu gila https://twitter.com/Jumadim89/status/950676147750125569 …,twitter,0,0,1,0
"RT @glrhn: Ayo Yang bilang mau pindah, mau bunuh diri, mau jadi kafir, mau lari bugil dan mau masturbasi di tempat umum silakan dilaksanakan",twitter,1,0,1,1
"Jangan takut membahas khilafah. Karena khilafah itu bagian dari Islam. Khilafah bukanlah HTI, hanya saja kebetulan HTI yg dengan lantang menyuarakannya. Tp sbg umat Islam, kita harus percaya janji Allah bhw di akhir zaman khilafah Islamiyyah akan tegak kembali dimuka bumi ini. pic.twitter.com/byGynN4Fju",twitter,0,0,1,0
#IklanAhokJahat Hati hati Mereka Mulai Prustasi dan Memainkan Cara cara Kasar !! Karena hasil dari berbagai survei si penista agama kalah!!,twitter,0,0,0,0
Di mata orang indonesia melihat bahwa.Orang papua sepertinya keturunan dari monyet kalau dorang keturunan itu dari baby nya ini kenyataan,twitter,0,1,0,1
"Inilah org yg otak/pemikiran sempit @YukToleran @savicali: Jk mkn bnyak org terobsesi ""mati syahid"" membunuh mrk yg kafir lwt bom bunuh diri",twitter,0,0,0,0
"Like our Page and Share this post Bigo HOT!!!, Dari Emut Jari Sampai Remas Tetek +… http://dlvr.it/Nr4pnt  visit http://www.bigolivecams.ga pic.twitter.com/leEVzPixay",twitter,1,0,0,0
"demo biasa. Orang Yogya dulu demo mau pisah dari NKRI, polisinya nyante aja. Kali ini mereka dukung Papua pisah dr NKRI kayaknya.",twitter,0,0,0,0
"Foto Memek Sempit Anak SMP Gadis Perawan: Foto Memek Gadis SMP Perawan – Lagi-lagi anak smp perawan, tapi kali... http://bit.ly/1U26riv ",twitter,1,0,0,0
"@memeksange692 kenyot lobang na ky cipok bibir km,toket na aku remea trus,pentil ngaceng sangein..kocok kontol aku..nnt aku lgs sodok memek",twitter,1,0,0,0
"Hha ! Bhs papua'e! Ayo?""@umrahsaad: Biasa mko :D""@09_ramadhani: @umrahsaad goblok!!knapa kamu sebut namanya'e?saya malu ini sudah!""""",twitter,0,0,0,0
"Pertanyaannya apa Ustad Somad lapor mau ke HK pd Pemerintah, apa dia minta perlindungan pada saat di Usir?? dr Hk pada Pemerintah?? Atau jangan2 Ustad Somad tdk mengakui Pemerintah?? Maka nya dia lapor ke FB kafir.",twitter,0,0,1,0
